P,M,K,mode,time
1,1000,1000,seq,0.000490
1,1000,2000,seq,0.000980
1,2000,2000,seq,0.001900
1,2000,4000,seq,0.002839
1,5000,5000,seq,0.009677
1,5000,10000,seq,0.017077
1,10000,10000,seq,0.047474
1,10000,20000,seq,0.096241
2,1000,1000,mpi,0.001368
4,1000,1000,mpi,0.002428
8,1000,1000,mpi,0.002263
2,1000,2000,mpi,0.001955
4,1000,2000,mpi,0.002767
8,1000,2000,mpi,0.003223
2,2000,2000,mpi,0.002172
4,2000,2000,mpi,0.002962
8,2000,2000,mpi,0.003356
2,2000,4000,mpi,0.003179
4,2000,4000,mpi,0.003924
8,2000,4000,mpi,0.005982
2,5000,5000,mpi,0.005585
4,5000,5000,mpi,0.005336
8,5000,5000,mpi,0.007074
2,5000,10000,mpi,0.009772
4,5000,10000,mpi,0.010823
8,5000,10000,mpi,0.013090
2,10000,10000,mpi,0.019365
4,10000,10000,mpi,0.012017
8,10000,10000,mpi,0.024583
2,10000,20000,mpi,0.037228
4,10000,20000,mpi,0.023013
8,10000,20000,mpi,0.041003
